quote,mood
"Sometimes you will never know the value of a moment until it becomes a memory.",nostalgic
"Hope is the only thing stronger than fear.",hopeful
"The heart was made to be broken.",heartbroken
"Life is either a daring adventure or nothing at all.",adventurous
"Believe in yourself and all that you are.",motivated
"Loneliness expresses the pain of being alone.",lonely
"Let your faith be bigger than your fear.",spiritual
"Enjoy the little things in life.",joyful
"Worrying is like paying a debt you don't owe.",worried
"Gratitude turns what we have into enough.",grateful
"Anxiety does not empty tomorrow of its sorrows, but only empties today of its strength.",anxious
"You know you're in love when you can't fall asleep because reality is finally better than your dreams.",romantic
"Bliss is not something to be found. It's something to be created.",blissful
"Yearning is the pulse of the soul.",yearning
"Freedom lies in being bold.",free-spirited
